2021-10-21 18:11:29.626 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #2/77
2021-10-21 18:11:30.340 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #3/77
2021-10-21 18:11:30.982 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #4/77
2021-10-21 18:11:31.681 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #5/77
2021-10-21 18:11:32.399 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #6/77
2021-10-21 18:11:33.095 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #7/77
2021-10-21 18:11:33.746 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #8/77
2021-10-21 18:11:34.391 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #9/77
2021-10-21 18:11:35.043 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #10/77
2021-10-21 18:11:35.707 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #11/77
2021-10-21 18:11:36.356 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #12/77
2021-10-21 18:11:37.035 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #13/77
2021-10-21 18:11:37.692 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #14/77
2021-10-21 18:11:38.328 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #15/77
2021-10-21 18:11:38.930 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #16/77
2021-10-21 18:11:39.561 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #17/77
2021-10-21 18:11:40.237 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #18/77
2021-10-21 18:11:40.885 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #19/77
2021-10-21 18:11:41.505 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #20/77
2021-10-21 18:11:42.137 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #21/77
2021-10-21 18:11:42.749 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #22/77
2021-10-21 18:11:43.362 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #23/77
2021-10-21 18:11:43.968 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #24/77
2021-10-21 18:11:44.610 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #25/77
2021-10-21 18:11:45.240 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #26/77
2021-10-21 18:11:45.853 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #27/77
2021-10-21 18:11:46.464 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #28/77
2021-10-21 18:11:47.058 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #29/77
2021-10-21 18:11:47.676 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #30/77
2021-10-21 18:11:48.318 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #31/77
2021-10-21 18:11:48.930 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #32/77
2021-10-21 18:11:49.559 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #33/77
2021-10-21 18:11:50.242 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #34/77
2021-10-21 18:11:50.903 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #35/77
2021-10-21 18:11:51.524 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #36/77
2021-10-21 18:11:52.138 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #37/77
2021-10-21 18:11:52.741 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #38/77
2021-10-21 18:11:53.351 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #39/77
2021-10-21 18:11:53.972 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #40/77
2021-10-21 18:11:54.603 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #41/77
2021-10-21 18:11:55.218 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #42/77
2021-10-21 18:11:55.842 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #43/77
